,Adults SCL,Adults SCL,Adults SCL,Adults SCL,Adults OK,Adults OK,Adults OK,Adults OK,Adults NW,Adults NW,Adults NW,Adults NW,Children SCL,Children SCL,Children SCL,Children SCL,Children OK,Children OK,Children OK,Children OK,Children NW,Children NW,Children NW,Children NW
Protein Grouping Ambiguity,L06,L28,L11,L35,L26,L15,L20,L21,L36,L07,L24,L31,L48,L42,L25,L47,L22,L44,L16,L17,L12,L18,L23,L32
,18,10,15,21,25,28,21,13,10,16,12,25,22,5,8,9,11,9,6,11,9,9,19,11
TRUE,12.605,8.6952,18.006,7.7955,23.734,0.89972,18.906,17.088,16.5,7.7955,10.504,12.892,12.892,13.48,11.724,6.3165,12.404,9.6041,6.8957,10.504,5.4168,10.495,11.404,8.7044
TRUE,11.18,6.4183,6.8366,13.837,11.598,8.478,12.315,13.314,10.389,12.627,12.017,12.062,16.899,13.301,7.8825,8.5982,12.21,5.6275,4.4183,6.9708,5.4183,9.1799,14.255,3.4183
TRUE,11.496,6.2182,7.7685,7.4639,24.16,3.4364,7.4364,4.4364,5.2182,15.927,8.7823,6.2182,9.1594,7.5365,7.5503,9.6091,21.873,7.8273,6.8411,6.6821,9.4364,16.391,7.8411,5.5365
TRUE,14.591,8.8842,24.225,21.003,18.591,0,24.825,16.31,24.183,5.153,7.0634,18.865,14.337,20.804,5.2165,6.8376,12.011,8.9368,5.3061,6.3882,5.258,5.2165,16.948,8.8842
TRUE,0,3.3324,3.3324,2.7493,10.386,0,0,0,0,0,0,4.3324,0,0,0,0,7.6649,5.4987,0,3.9155,6.693,7.3043,0,3.7212
TRUE,10.589,4.4256,14.539,13.539,15.49,4.4256,17.227,11.326,17.752,4.4256,9.1137,13.802,11.326,18.49,9.1137,10.114,13.589,9.1137,8.1137,11.064,4.4256,8.8513,12.064,7.3761
,14,17,13,10,26,1,10,14,12,16,12,12,7,14,15,16,24,9,12,16,11,12,14,16
TRUE,4.4111,0,5.4607,6.4607,7.5103,0,7.7727,4.6735,8.2479,2.5744,3.8863,5.1983,0,7.5103,3.8863,3.8863,4.4111,3.8863,3.8863,4.9359,2.5744,4.1487,4.9359,3.6239
TRUE,0,0,0,0,0,0,0,0,0,0,0,0,2.9552,2.6465,0,0,0,0,0,0,0,0,0,0
,13,13,17,9,43,2,19,21,18,13,11,9,13,12,9,10,23,12,7,18,14,10,11,16
TRUE,10.793,6.9849,16.69,11.97,8.0731,0,14.602,12.97,10.793,0,6.4408,10.161,8.6172,13.426,0,3.8086,8.0731,6.4408,5.8967,7.529,3.2645,5.3527,9.7053,2.7204
TRUE,0,0,3.5243,0,0,0,0,0,4.4096,0,0,3.9833,0,4.2948,0,0,0,0,0,0,0,0,0,0
TRUE,8.2065,5.0151,12.31,11.03,0,0,11.398,10.03,8.2065,0,0,6.8388,6.3828,9.5743,0,0,5.9269,4.5592,4.1033,5.471,0,0,7.2947,0
,13,15,10,6,30,0,8,10,12,12,10,18,4,5,18,18,12,7,15,19,16,11,24,12
,18,20,17,11,27,0,6,15,8,6,11,11,7,7,18,22,25,17,12,10,11,17,9,9
TRUE,11.663,2.9964,38.277,31.772,13.668,0,39.097,14.638,22.648,1.8349,2.8429,17.978,18.806,32.614,1.8393,6.8357,3.8277,1.9964,0,1.9964,0,6.6706,17.645,0
TRUE,12.35,6.6388,15.278,12.422,19.989,0,20.7,15.061,18.844,4.8555,9.3499,20.772,17.989,21.772,2.9278,6.6388,7.6388,8.4944,3.7111,8.4944,1.9278,6.7111,15.061,3.7833
TRUE,11.787,1,21.795,21.533,15.51,0,13.066,8.3878,11.537,3.7744,9.9887,14.784,10.851,17.051,3.4849,8.8221,5.4639,3.4735,0,3.3008,0,13.304,8.8852,5.6644
,18,19,11,8,28,1,6,6,12,15,7,10,4,11,8,10,11,14,12,12,11,9,8,12
TRUE,0,0,1.4032,0,1.1594,0,0,0,0,1.2521,0,1.1716,0,0,0,0,0,0,0,0,0,1.2622,0,1.2363
TRUE,0,0,17.356,22.932,1.5,0,20.149,15.02,0,0,0,5.4547,6.5359,5.4395,2,0,3.7175,0,0,0,0,0,6.6114,0
TRUE,0,0,0,0,0,0,5.5995,0,2.4494,2.0076,0,6.2988,0,0,0,0,5.6602,0,0,0,0,5.1931,0,0
