Date,Open,High,Low,Close,Adj Close,Volume
1962-03-26,7.293333,7.320000,7.280000,7.290000,1.776455,135000
1962-03-27,7.273333,7.273333,7.146667,7.153333,1.743153,352500
1962-03-28,7.160000,7.213333,7.160000,7.193333,1.752899,330000
1962-03-29,7.193333,7.226667,7.173333,7.173333,1.748026,232500
1962-03-30,7.160000,7.160000,7.070000,7.103333,1.730968,442500
1962-04-02,7.100000,7.100000,7.006667,7.006667,1.707412,375000
1962-04-03,7.000000,7.000000,6.760000,6.833333,1.665174,915000
1962-04-04,6.833333,6.893333,6.803333,6.803333,1.657863,652500
1962-04-05,6.840000,6.946667,6.840000,6.946667,1.692791,915000
1962-04-06,6.946667,7.000000,6.893333,6.940000,1.691167,435000
1962-04-09,6.940000,6.980000,6.893333,6.946667,1.692791,22500
1962-04-10,6.946667,6.973333,6.906667,6.973333,1.699288,262500
1962-04-11,6.973333,7.026667,6.880000,6.880000,1.676546,532500
1962-04-12,6.880000,6.893333,6.806667,6.806667,1.658676,405000
1962-04-13,6.806667,6.906667,6.800000,6.906667,1.683043,630000
1962-04-16,6.906667,6.953333,6.826667,6.900000,1.681417,510000
1962-04-17,6.900000,6.933333,6.866667,6.933333,1.689541,300000
1962-04-18,6.933333,6.993333,6.913333,6.920000,1.686292,427500
1962-04-19,6.920000,6.946667,6.893333,6.920000,1.686292,390000
1962-04-23,6.920000,6.926667,6.886667,6.913333,1.684667,315000
1962-04-24,6.913333,6.956667,6.900000,6.906667,1.683043,457500
1962-04-25,6.906667,6.933333,6.833333,6.833333,1.665174,465000
1962-04-26,6.826667,6.826667,6.660000,6.660000,1.622934,930000
1962-04-27,6.660000,6.733333,6.400000,6.473333,1.577447,1635000
1962-04-30,6.473333,6.533333,6.000000,6.053333,1.475099,2347500
1962-05-01,6.053333,6.193333,5.733333,6.160000,1.501092,5317500
1962-05-02,6.266667,6.453333,6.266667,6.300000,1.535209,2557500
1962-05-03,6.300000,6.453333,6.253333,6.430000,1.566888,1365000
1962-05-04,6.430000,6.480000,6.366667,6.480000,1.579071,780000
1962-05-07,6.480000,6.530000,6.336667,6.336667,1.544142,832500
1962-05-08,6.328333,6.328333,6.126667,6.126667,1.493206,1035000
1962-05-09,6.126667,6.183333,6.000000,6.013333,1.465583,1605000
1962-05-10,6.013333,6.130000,5.986667,6.040000,1.472083,1912500
1962-05-11,6.040000,6.133333,5.920000,5.946667,1.449336,1897500
1962-05-14,5.946667,6.060000,5.843333,6.060000,1.476956,2730000
1962-05-15,6.060000,6.173333,6.026667,6.026667,1.468833,1687500
1962-05-16,6.026667,6.126667,6.026667,6.093333,1.485081,885000
1962-05-17,6.093333,6.093333,5.960000,5.986667,1.459085,975000
1962-05-18,5.986667,6.020000,5.940000,6.020000,1.467208,735000
1962-05-21,6.020000,6.020000,5.946667,6.000000,1.462334,397500
1962-05-22,5.993333,5.993333,5.800000,5.800000,1.413590,1005000
1962-05-23,5.800000,5.840000,5.536667,5.536667,1.349409,2895000
1962-05-24,5.536667,5.680000,5.306667,5.306667,1.293353,4155000
1962-05-25,5.306667,5.426667,5.173333,5.313333,1.294978,4305000
1962-05-28,5.293333,5.293333,4.733333,4.813333,1.173117,4320000
1962-05-29,4.873333,5.160000,4.873333,5.106667,1.244609,3862500
1962-05-31,5.200000,5.333333,5.200000,5.233333,1.275480,4132500
1962-06-01,5.213333,5.213333,5.103333,5.133333,1.251108,2415000
1962-06-04,5.066667,5.066667,4.800000,4.800000,1.169868,1815000
1962-06-05,4.800000,4.986667,4.706667,4.855000,1.183272,3165000
1962-06-06,4.855000,5.013333,4.826667,4.873333,1.187740,2880000
1962-06-07,4.906667,4.986667,4.906667,4.933333,1.202363,1230000
1962-06-08,4.936667,5.013333,4.936667,4.950000,1.206425,1170000
1962-06-11,4.950000,4.960000,4.780000,4.786667,1.166618,1192500
1962-06-12,4.733333,4.733333,4.468333,4.468333,1.089032,3330000
1962-06-13,4.468333,4.573333,4.296667,4.301667,1.048411,4387500
1962-06-14,4.301667,4.423333,4.000000,4.080000,0.994386,6682500
1962-06-15,4.080000,4.460000,4.006667,4.446667,1.083752,6330000
1962-06-18,4.446667,4.530000,4.233333,4.396667,1.071566,4770000
